,Bnumber,Gen,Length
253,b0245,ykfI,343
254,b0246,yafW,319
255,b4504,ykfH,223
256,b0247,ykfG,478
257,b0248,yafX,460
258,b0249,ykfF,241
259,b0250,ykfB,469
260,b0251,yafY,445
263,b0252,yafZ,823
264,b0253,ykfA,865
265,b0254,perR,895
267,b0256,insI-1,1153
269,b0258,ykfC,1147
270,b0259,insH-1,1018
271,b0260,mmuP,1405
272,b0261,mmuM,934
273,b0262,afuC,1048
274,b0263,afuB,350
275,b0264,insB-2,505
276,b0265,insA-2,277
278,b4505,insX,250
279,b0266,yagB,352
280,b0267,yagA,1156
281,b0268,yagE,910
282,b0269,yagF,1969
283,b0270,yagG,1384
284,b0271,yagH,1612
285,b0272,xynR,760
286,b0273,argF,1006
288,b0274,insB-3,505
289,b0275,insA-3,277
290,b0276,yagJ,733
291,b0277,yagK,628
292,b0278,yagL,700
293,b0279,yagM,856
295,b0280,yagN,442
296,b0281,intF,1402
297,b0282,yagP,412
298,b0283,paoD,958
299,b0284,paoC,2200
300,b0285,paoB,958
301,b0286,paoA,691
302,b0287,yagU,616
303,b0288,ykgJ,331
304,b0289,ecpE,712
305,b0290,ecpD,1645
306,b0291,ecpC,2527
307,b0292,ecpB,670
308,b0293,ecpA,589
309,b0294,ecpR,592
310,b0295,ykgL,229
311,b4506,ykgO,142
312,b0296,ykgM,265
315,b0297,eaeH,889
316,b0298,insE-1,301
317,b0299,insF-1,868
318,b0300,ykgA,688
320,b0301,rclC,595
321,b0303,rclB,238
322,b0304,rclA,1327
323,b0305,rclR,856
324,b0306,ykgE,721
325,b0307,ykgF,1429
326,b0308,ykgG,697
327,b0310,ykgH,670
552,b0537,intD,1165
554,b0539,exoD,265
555,b4508,peaD,313
556,b0542,renD,1565
557,b0540,insE-3,301
558,b0541,insF-3,868
559,b0543,emrE,334
561,b0544,ybcK,1528
562,b0545,ybcL,553
563,b0546,ybcM,799
565,b0547,ybcN,457
566,b0548,ninE,172
567,b0549,ybcO,292
568,b0550,rusA,364
569,b4509,ylcG,142
570,b0551,ybcQ,385
571,b0553,nmpC,2298
572,b0552,insH-2,1018
573,b0554,essD,217
574,b0555,rrrD,499
575,b0556,rzpD,463
576,b4510,rzoD,184
577,b0557,borD,295
578,b0558,ybcV,412
579,b0559,ybcW,208
581,b0560,nohD,547
583,b0561,tfaD,565
584,b0562,ybcY,656
585,b0563,tfaX,187
586,b0564,appY,751
587,b0565,ompT,955
1167,b1137,ymfD,667
1168,b1138,ymfE,706
1169,b1139,lit,895
1170,b1140,intE,1129
1171,b1141,xisE,247
1172,b1142,ymfH,313
1173,b1143,ymfI,343
1174,b1144,ymfJ,310
1175,b1145,ymfK,676
1176,b1146,ymfT,202
1177,b1147,ymfL,559
1178,b1148,ymfM,340
1179,b1149,ymfN,1369
1182,b1150,ymfR,184
1183,b1151,beeE,475
1184,b1152,jayE,793
1185,b1153,ymfQ,586
1186,b1154,ycfK,631
1187,b1155,tfaP,415
1188,b1156,tfaE,604
1189,b1157,stfE,538
1190,b1158,pinE,556
1191,b1159,mcrA,835
1192,b4519,icdC,166
1193,b1160,iraM,325
1196,b1161,ycgX,406
1197,b1162,bluR,733
1198,b1163,bluF,1213
1199,b1164,ycgZ,238
1200,b1165,ymgA,274
1201,b1166,ariR,268
1202,b1167,ymgC,250
1203,b1168,pdeG,1525
1204,b4520,ymgF,220
1205,b4491,ycgH,2649
1206,b1171,ymgD,331
1207,b1172,ymgG,346
1391,b1336,abgT,1528
1392,b1337,abgB,1447
1393,b1338,abgA,1312
1394,b1339,abgR,910
1395,b4426,mcaS,94
1396,b1340,smrA,565
1397,b1341,dgcM,1234
1398,b1342,zntB,985
1401,b1343,dbpA,1375
1402,b1344,ttcA,937
1403,b1345,intR,1237
1404,b1346,xisR,217
1405,b1347,rcbA,211
1407,b1348,ralR,196
1408,b1349,recT,811
1409,b1350,recE,2602
1410,b1351,racC,277
1411,b4526,ydaE,172
1412,b1352,kilR,223
1413,b1353,sieB,490
1414,b4527,ydaF,157
1415,b1355,ydaG,136
